item_id,item_price,category_1,category_2,category_3,product_type
104375,449,17,8,113,9601
87657,3444,0,6,145,8179
59513,46656,16,56,256,8986
73989,2355,13,5,125,9097
41805,1785,7,24,100,1732
76979,4602,12,57,85,8744
80517,1670,17,8,113,9225
98812,3398,11,51,329,3844
23447,1814,13,58,273,5897
71303,2067,10,43,223,10484
46503,2355,17,8,113,6318
130617,2321,13,58,191,5081
74404,2643,13,5,220,7099
9611,2246,11,35,148,7036
126662,4999,7,23,219,6661
50110,8582,13,78,134,10121
51839,2336,13,67,168,8834
17296,5126,12,57,44,4057
60079,639,17,39,151,124
56405,20492,16,56,305,7899
101807,1837,7,23,219,7652
34853,2067,7,23,149,6723
76276,85760,4,38,19,3893
6817,4602,13,58,135,2528
9758,3020,11,51,220,7881
124313,9990,12,57,85,9333
119476,54336,1,42,157,1756
9197,4026,0,45,73,6044
16370,2004,4,38,62,4297
3065,2361,8,40,84,6498
41191,1987,14,62,106,3737
26233,697,11,51,290,5456
46361,2298,13,52,294,2802
10066,825,13,58,191,5897
73519,15296,1,42,157,5637
108364,2292,9,44,114,1529
120035,1843,4,38,62,8121
16027,2073,11,76,147,7078
6689,2822,4,38,62,2967
27854,13984,7,27,115,8274
124555,6272,16,68,326,3184
53206,3041,11,35,148,1683
45348,5172,16,4,234,1380
70269,1952,13,5,22,8834
105096,2759,8,40,84,231
19098,380,13,78,221,9582
36602,2764,12,57,212,10271
54675,2246,11,76,24,4192
14619,3225,9,9,90,1073
45210,1657,12,57,18,8577
75794,33984,17,39,151,2740
112538,883,10,43,187,3635
83727,2131,13,58,189,9839
125489,5875,9,9,244,9086
31461,627,17,39,252,9976
45974,1004,17,8,159,8607
122261,2586,13,58,135,4034
110641,2764,0,6,50,2874
19495,13420,9,9,90,8826
35274,3584,6,14,63,1445
114459,2233,7,23,149,8836
101448,7116,6,77,325,6493
116196,761,13,58,47,6186
115184,3162,13,67,141,2874
65680,2937,16,68,40,3034
92520,2560,0,45,138,4144
63885,3248,16,56,188,5622
9573,5178,10,63,295,9337
111698,3162,13,78,287,9189
35221,672,7,23,219,6681
66990,825,13,78,134,2568
30716,2984,17,39,151,10304
72575,4026,12,57,44,4222
129681,19526,1,7,308,8994
59285,2298,12,57,85,5267
114844,1831,16,56,188,8445
83394,2649,17,39,151,7071
95327,4585,13,78,108,2167
92103,1792,0,45,138,2719
68183,538,7,46,285,2111
9094,1081,9,37,162,2159
93605,1792,11,35,220,9926
26388,7430,1,28,314,4646
59726,4596,0,6,50,5441
12363,1779,7,23,219,6032
65029,4422,7,27,115,8768
91344,1907,7,31,271,534
124636,8634,9,9,90,1073
38692,51136,1,42,157,8189
48082,2172,9,9,244,9008
123917,2112,16,17,272,244
77623,9959,17,69,154,6325
51987,2102,11,51,290,4260
12901,2874,9,44,114,8890
70661,63,13,58,265,5217
77161,5160,7,27,115,1524
90009,10758,9,3,48,1672
106022,2275,12,57,171,10146
32965,1895,7,23,149,4628
55149,2048,9,37,162,2106
87445,9094,11,35,148,2537
75313,1785,13,78,205,4279
100824,2010,7,23,149,7203
124919,10886,16,56,93,7962
18240,1504,4,38,62,4297
105083,3450,10,63,295,10484
25602,4291,13,78,205,5604
110266,3219,13,67,168,9790
64539,3450,13,78,205,9432
63691,5412,11,51,15,5783
69605,2695,12,57,85,722
4896,2643,13,58,341,8417
68114,2822,4,38,62,941
95148,3398,11,76,24,3844
34426,569,7,23,304,2839
104672,6041,14,62,324,7203
123986,2419,11,35,240,1225
47984,2368,16,17,272,7182
72075,6336,13,78,134,2884
1376,3063,7,23,219,10356
49332,3168,9,9,90,5814
47931,2131,13,78,134,7103
36974,1273,12,57,171,9035
52366,4596,0,6,50,8814
9156,2246,9,44,114,3134
66077,2298,13,58,173,1884
42991,2297,13,18,198,10573
107654,1728,17,39,252,5497
19331,1497,6,49,60,7195
72275,2292,7,71,210,534
32907,6272,17,8,113,4757
18210,1273,13,18,291,8834
86652,2298,0,45,73,6840
104636,1273,14,61,132,4746
43081,3444,11,70,156,7365
42417,2822,7,33,95,3047
74236,8192,16,17,272,2397
40842,2547,7,31,12,8506
122648,2413,13,18,5,1049
597,2010,0,45,73,7753
47414,25472,9,9,244,3779
109706,3480,9,44,164,986
132106,2822,17,8,113,6936
42651,2125,13,5,22,3717
61726,2620,12,57,54,8577
95587,1658,7,23,149,7203
36453,2355,13,58,189,594
38769,1728,9,44,114,2065
88203,1895,17,39,252,9444
127696,9158,13,78,287,4338
105945,2125,13,67,170,10351
60203,7360,1,7,246,10083
89263,185,7,71,146,1446
2154,1907,8,40,84,6498
94345,35136,16,17,131,3184
99312,1408,4,38,62,2521
7958,5702,10,43,223,10484
3643,5126,12,57,44,4057
29321,4584,7,33,202,2431
122389,1465,17,26,233,1296
101226,1267,9,44,114,5098
38209,1376,13,78,134,1049
67371,4266,7,23,219,6661
81958,864,9,66,193,4645
48806,3398,0,45,138,4434
85855,3398,9,44,114,1529
94971,2868,8,41,36,10465
86582,5920,1,28,283,2376
62965,3974,9,44,114,8700
29484,3450,4,74,292,5774
9956,1779,13,5,22,7916
103456,3705,11,76,24,2724
79470,1401,7,46,4,8506
72781,3018,0,45,138,7753
93256,5126,11,35,20,7671
107450,1849,11,51,329,3844
86908,1148,4,1,111,9578
96655,2113,7,23,149,7562
21585,1849,17,39,151,10405
35731,627,17,8,113,6936
9170,1468,13,58,254,9897
45641,4550,12,57,171,9035
111298,3450,0,45,73,2966
82525,2298,17,8,279,7049
88619,825,7,23,219,7652
47441,1779,16,17,272,9550
123703,1209,17,26,233,8606
83852,1296,15,0,214,571
30803,2188,0,45,73,9156
74233,3795,13,78,108,1359
67067,4026,12,57,171,8541
74428,3830,7,54,270,6786
49259,3576,7,72,282,5760
130694,2125,12,57,44,6822
49181,1440,11,51,181,5622
40461,1638,13,78,134,2568
84033,2976,13,58,75,5425
6086,5126,7,27,115,256
24733,3974,9,44,114,1529
51277,812,17,55,70,5251
10517,4550,0,45,73,6082
50322,4602,4,74,292,9658
126347,11404,13,78,134,3020
127576,2298,11,35,148,162
43179,743,7,23,149,1236
4749,1065,11,76,147,4147
68395,11456,1,64,263,8052
8333,63,9,37,162,8475
102483,3064,7,23,219,6661
70114,2496,1,64,263,7069
77571,3116,14,62,324,10098
6116,4026,13,67,168,10186
58054,185,9,37,142,231
89995,9193,9,9,90,10400
37756,2350,7,31,12,8570
114278,307,7,46,4,9988
22119,7176,17,39,151,2874
35560,5414,17,8,279,7966
35303,2160,7,46,4,2111
28856,558,17,39,151,4449
68817,2407,17,8,159,1155
3315,5114,6,73,262,2455
54914,1209,14,62,324,2134
62522,2551,7,31,271,7291
123232,2874,13,58,189,5081
85835,2332,13,78,134,4450
119815,99507,17,39,151,7261
78692,7594,7,31,271,5316
69106,2522,9,44,164,3766
16153,2010,13,67,170,2164
18521,1779,7,71,146,1312
131380,1441,17,26,233,9533
13345,2304,9,37,162,10465
70010,2701,13,78,134,3839
52971,3833,7,71,210,7945
53565,1895,10,43,187,3295
91266,633,10,43,223,3328
60905,12280,9,3,27,3009
7946,3136,9,9,90,9197
67345,3974,16,4,6,9227
1312,53625,1,42,157,10331
94917,1837,11,51,329,4141
47079,1081,13,58,47,8386
65771,9158,12,57,85,9333
89688,7482,10,63,295,9337
125665,2419,13,78,205,5604
88382,1843,11,51,220,9865
130811,2121,9,44,164,8131
39434,2292,9,44,114,2065
86735,2125,11,70,322,9780
44700,7430,13,58,47,4857
112444,2160,7,71,228,10344
127108,4841,16,56,42,8645
62738,480,0,6,169,804
29933,5702,0,45,73,5888
130178,1733,4,38,62,4253
102667,1547,13,58,75,4414
66414,3065,0,6,50,5441
117633,2355,13,67,170,3934
5342,2822,9,44,16,691
111269,2298,9,44,114,6898
12783,9670,0,6,277,9227
129722,4602,12,10,96,7987
7698,2874,10,63,295,10484
67653,18668,16,56,158,1417
17939,22208,16,56,158,1417
118326,3450,13,52,220,5582
47759,3444,11,35,148,1185
32299,1912,9,44,16,3766
58038,7430,11,35,20,10335
123060,7942,1,12,301,297
11124,3833,12,57,44,7885
75928,3398,4,38,62,8315
36358,4217,13,67,168,6931
91804,1401,7,24,100,1417
6279,3584,9,9,244,9008
88771,2131,13,58,189,9788
36216,1273,12,57,171,4628
3874,8691,17,26,225,5276
22436,1733,12,57,44,1713
62846,21409,17,39,151,10304
56432,1273,16,56,17,1008
106285,83776,6,77,325,6941
25154,1626,17,55,52,9472
13078,3398,11,51,329,3844
101849,4032,6,77,325,347
44304,1785,4,38,62,7030
3253,2298,13,58,189,9173
50355,2240,17,39,297,6007
4904,2298,13,67,168,734
50177,4026,13,5,125,7226
82914,8760,17,39,151,7599
119185,4187,12,57,54,3644
10835,1370,7,24,100,3392
62476,1895,7,46,4,2111
2872,2298,13,58,280,2164
13600,3450,13,67,141,5739
92386,1145,13,58,189,6633
55854,14906,17,39,151,10304
99362,2304,11,51,329,7738
73655,842,16,4,6,2636
54262,556,4,1,111,1207
53398,1848,6,73,318,10432
12912,5702,12,57,171,9035
116802,1541,16,4,119,4773
94491,1981,16,56,226,5622
69994,6041,14,62,324,7203
128297,4112,16,56,188,60
18288,2816,13,58,341,586
96034,4550,0,45,73,2357
63621,4020,17,26,233,3784
109830,18557,9,3,48,526
100874,2160,13,78,72,2466
99666,7896,16,20,269,3184
93363,218,12,57,171,9723
38994,2695,4,74,292,4524
45144,3296,1,7,338,4967
99018,1261,7,23,304,6608
34323,1952,12,57,44,8797
64848,3513,1,28,314,3755
47493,1728,4,38,62,3683
78394,2292,9,44,114,4492
132530,2361,17,8,113,7923
81739,2557,14,61,132,4746
15257,4998,7,33,202,3793
30570,3680,1,28,336,8817
73948,2784,7,46,229,7738
8629,1529,16,56,17,3484
8190,3133,16,68,326,8986
600,2016,14,62,323,6003
20530,3200,13,78,134,2884
24476,130154,16,17,131,5403
105919,1716,7,46,4,2313
67271,1895,13,67,170,4110
60158,5385,1,28,336,1845
10368,20416,16,68,326,3561
69852,1177,9,37,162,7982
118974,708,7,31,12,8570
103858,9676,4,38,19,9074
116173,2873,11,35,20,5849
21039,14080,8,41,36,1740
115303,5754,12,10,96,3236
17176,5696,16,56,42,60
54804,2874,13,58,135,2356
9793,2183,13,58,254,6640
10552,3974,8,40,84,231
67875,4026,4,38,62,9658
13513,2062,16,56,188,60
5429,2298,12,57,85,1931
34948,1273,13,67,141,2189
28830,8908,17,8,159,5276
129024,4947,13,78,108,1359
79266,953,13,58,273,913
105762,6720,14,62,315,7363
79578,117849,16,56,253,3184
106064,5574,1,28,336,8774
17105,3532,12,57,85,2494
87940,3974,14,29,257,3517
15961,1958,11,51,15,7595
56103,17222,8,40,84,10269
97456,2292,9,44,114,2305
92504,2880,13,78,134,10121
116375,6278,17,8,279,4057
21233,3833,11,51,220,7881
113682,707,7,23,219,3744
88534,178099,16,56,253,5403
130176,3776,9,9,90,466
106836,2010,13,5,65,2521
107828,3020,11,51,220,7881
127907,2613,17,39,151,4097
122789,165665,16,17,131,5403
32341,973,7,23,219,8956
85609,3444,7,31,12,3165
17511,3962,11,51,290,9780
57385,1728,13,58,135,10190
35823,11369,8,41,36,8932
61122,32576,8,40,313,1943
49214,10240,1,42,103,2331
44186,4640,13,78,134,9839
32561,14016,14,62,315,3057
110691,2246,4,38,62,305
19885,1733,17,39,151,10304
38153,1900,7,71,228,8708
88572,41369,9,3,27,4282
10807,16416,8,41,36,4517
106732,915,7,31,271,9471
93773,2112,9,44,114,4423
9624,63936,15,13,74,5293
73936,2119,4,74,292,4524
113382,1811,14,61,159,7768
29705,10087,9,3,312,3197
79972,1657,13,52,275,4865
1369,5696,17,39,151,10239
11827,10310,14,62,333,9677
100285,2125,12,57,85,6822
104155,1785,13,58,265,2506
88969,1465,14,29,257,7948
105037,2246,17,8,279,5933
103615,1856,7,72,179,7291
82453,1657,0,6,50,841
93501,2022,7,54,330,1500
49166,5696,4,38,21,7392
93769,3450,10,63,295,120
88156,3214,13,78,134,4450
28612,1267,4,74,292,7923
28192,12096,17,39,151,7428
85594,3974,12,57,85,9035
4000,4384,1,36,203,8817
101734,1811,14,61,159,7768
18841,4147,7,31,271,5316
60983,1670,13,78,1,6120
68841,4314,9,44,16,986
11343,5345,17,8,159,8305
53800,2592,17,8,279,1252
7464,665,17,55,143,4558
858,3992,17,39,252,2791
105990,921,0,45,138,4144
47072,627,4,38,62,10152
128689,9169,12,57,85,2384
112646,870,14,62,324,7203
72795,1376,7,23,149,1236
89202,4729,13,18,291,3050
82459,2004,4,38,62,4253
36703,6624,13,78,1,584
42442,10298,14,62,201,1919
115571,1913,10,63,295,5545
50142,1872,13,58,254,1588
57254,5345,9,9,90,1073
64428,668,17,8,123,9977
116059,8441,1,42,30,4986
15011,2995,7,71,121,4098
109004,760,9,9,90,3001
1778,4596,4,38,62,8121
6844,2298,13,67,141,2189
74469,2355,13,18,291,4771
90687,864,13,58,280,9839
33122,2119,9,44,114,1392
13001,1929,13,58,280,601
42917,3513,17,39,151,10239
132636,3444,9,44,16,2065
48354,3744,12,10,96,8744
13921,4914,9,44,114,3528
60270,7242,9,44,16,3207
103225,4020,7,31,271,4832
113064,3450,0,6,50,3181
92048,2169,13,58,254,10544
94808,2822,11,51,290,3844
81597,4602,12,57,184,1192
14990,1889,0,6,50,3529
76633,1952,13,58,135,4034
38587,21120,14,29,257,10185
31513,3542,12,57,85,6822
101309,2464,13,67,141,7387
118416,1081,4,38,62,10152
64335,3993,9,44,164,9741
20282,26956,9,3,27,3009
91026,5748,16,56,188,4017
122564,3776,9,44,114,1529
20407,6016,16,17,272,4240
83380,1267,17,39,151,6978
41397,5093,16,4,6,3619
87606,2874,4,38,62,9629
65482,633,7,31,271,7233
68228,1209,13,67,168,1374
96672,1721,7,23,149,1236
110870,3444,17,39,151,251
18374,1408,12,57,212,10271
49982,5011,13,67,168,3163
74754,2010,13,78,108,8997
82498,3444,17,39,151,2699
51291,2553,13,18,198,10573
86598,633,12,57,85,5362
4532,2304,0,6,145,7388
40144,13000,11,35,20,8404
30745,761,7,54,330,7233
108816,3444,7,31,12,4937
42714,1913,7,54,330,8570
25774,3974,4,74,292,10077
60045,3818,9,9,244,1878
4973,4723,9,44,16,4458
16398,2297,13,58,135,4956
70334,768,0,45,138,285
77926,2272,9,44,164,9041
107163,633,12,57,171,8744
14174,933,14,62,315,4850
119109,2099,17,8,113,1231
78389,2419,12,10,96,9870
62972,5178,17,26,233,3784
125908,441,7,31,12,6673
124336,16960,16,68,326,3561
122411,5721,15,0,214,2931
125604,3040,13,67,170,7532
20220,1728,9,44,114,7933
47415,152652,16,17,131,5403
66861,1900,4,38,62,8749
76920,2016,4,38,62,4609
52996,16128,1,42,115,4051
2640,1907,12,57,85,1921
62555,8832,16,17,236,8374
25949,2476,10,43,223,9181
75979,6035,16,56,188,7170
2228,1733,7,54,270,6608
4467,1203,9,44,16,2720
81427,1779,12,57,85,8663
35254,3827,14,62,201,8069
59468,883,8,40,84,231
15676,2292,17,39,151,6607
77507,47936,15,13,74,4755
37117,10039,9,9,90,9441
41384,1139,11,51,329,3113
85035,19008,9,3,27,3593
62510,2471,13,78,108,8867
11484,9792,16,56,188,4998
10706,3187,17,8,113,1231
98545,6010,8,40,84,4924
77043,27545,9,9,90,5432
95208,4596,16,4,234,1380
132646,4406,11,51,290,9780
101069,3127,17,26,233,8606
49045,883,14,62,324,7203
41537,2528,7,23,219,6661
12963,2611,17,39,151,10304
121427,20160,15,0,214,8929
68474,2413,0,45,81,2375
106377,4026,12,57,44,4222
191,2545,17,39,151,2874
10915,4416,17,8,279,209
127672,3120,9,37,162,3528
72548,9619,9,9,90,1073
50581,1267,9,44,114,6162
131494,3801,11,35,148,4998
127445,5368,17,8,159,15
25229,2822,17,8,113,10025
117588,2553,7,31,271,49
906,2592,16,4,6,2929
54332,9734,11,51,220,10414
43076,2678,13,78,287,1049
26909,160,13,58,280,3248
12775,1267,13,58,341,1982
28820,1952,13,58,254,1588
90699,2394,17,8,113,6936
112025,1280,4,38,62,4253
35150,1856,10,43,264,8274
20287,32,10,63,216,3062
72600,5402,13,78,134,4068
47757,1895,7,23,219,6661
20753,1593,6,14,80,4438
23684,1929,7,72,79,6367
35168,1651,16,56,17,7315
89641,1440,11,35,148,5622
25291,800,7,46,4,2111
48258,10310,11,51,220,2315
3056,633,7,24,100,3521
60598,1105,14,62,324,1610
46838,5178,10,43,223,7701
114800,18278,9,3,172,2099
107168,165665,16,17,131,5403
73517,4468,7,72,179,3372
106734,2419,9,37,162,3978
37226,4602,13,18,5,961
124703,1670,13,58,280,2779
67309,2557,13,78,134,9432
20728,633,11,76,147,190
25140,96768,6,77,325,6941
102963,1241,11,51,242,4292
70198,2234,4,74,292,4524
91733,2298,10,43,264,6077
111658,1958,11,51,220,4401
8810,6976,1,42,115,476
83035,1716,9,66,193,8495
12334,1472,0,45,73,7753
17050,1626,7,23,219,7539
48674,448,0,45,117,1110
62493,9737,8,21,139,8765
52414,4406,16,56,93,4998
44361,10816,12,57,85,6597
40427,14656,1,7,308,6598
21579,460,14,61,132,5700
96617,2714,7,46,4,2111
55494,4602,4,38,62,9658
99970,2534,13,58,135,3142
76054,64000,16,56,253,5403
92990,8960,8,41,36,9559
33312,5113,12,57,85,1713
104404,1856,17,8,279,1619
88529,633,4,38,62,4988
100836,8896,12,57,85,6822
128270,5056,16,56,158,3045
92376,1843,12,57,212,1892
47458,633,7,23,149,757
127595,2183,10,43,223,9375
17675,37916,9,3,27,9259
74937,2617,7,23,137,10411
14423,576,13,18,182,2874
29383,953,13,78,134,2466
77950,864,11,51,290,9865
127323,3450,12,57,171,3236
25439,1895,13,58,189,2774
78790,377,12,57,44,3327
26096,960,14,62,317,2994
21676,70336,16,17,131,3184
130114,3398,16,19,306,9606
77856,2176,16,68,235,4017
101728,633,10,43,223,3328
123374,1529,13,58,280,8834
84737,2874,13,67,32,8834
42000,3686,16,56,188,2906
119247,2131,9,44,114,1392
110295,697,7,24,100,2510
69142,5748,7,23,137,2087
25098,2304,0,45,138,4144
6097,2592,0,45,73,7388
116329,1745,17,39,151,2874
36852,2770,0,6,145,2056
105324,2745,7,31,271,7233
71719,3129,17,8,279,8857
27047,8231,16,4,6,8368
118253,8058,10,63,216,8989
124800,3156,17,39,252,9927
37748,384,0,6,169,4144
93439,2016,12,57,212,1892
102767,3340,4,38,62,4794
123045,3398,13,78,134,3346
118277,3450,13,58,189,2356
10333,2144,7,24,100,2180
68079,27400,16,68,326,5403
25110,3974,12,57,85,2494
40487,24969,9,3,238,9259
111739,2822,17,39,252,1552
114857,371,10,43,223,3635
122657,1344,7,31,12,8411
88365,633,12,57,171,9035
64535,2954,17,39,151,10304
41509,1779,17,69,194,5276
24400,15808,17,39,151,2874
43239,2067,0,45,138,7249
35166,1216,0,45,138,4422
44425,806,17,26,328,5688
95328,15296,6,14,63,677
43165,5702,16,68,326,5544
108457,1904,13,78,134,3632
74536,1344,17,8,279,5276
22072,5376,16,17,272,4017
91309,320,7,24,100,3272
70743,40256,15,13,74,9608
84895,2304,0,45,73,4616
119878,1140,17,8,113,2150
40846,1600,0,45,73,4144
126895,12672,16,68,235,9641
126476,3398,4,38,62,6417
22085,966,7,31,83,8506
39830,1017,7,46,4,2111
120397,3577,10,63,216,3062
33120,1075,14,62,324,10098
10578,2062,7,23,219,3392
81478,1280,0,45,138,4144
4710,825,0,45,73,8984
81293,2553,13,67,32,2164
128375,9216,16,20,293,5403
119337,2551,16,68,326,8986
101444,870,17,8,9,8481
83610,2096,9,9,90,5814
114828,1657,7,71,228,8506
62054,2099,14,29,199,6607
97872,49016,16,20,86,5403
67073,370,7,31,271,7233
104027,2534,7,23,149,9695
114234,700,17,39,151,6648
104344,800,7,24,51,7577
31414,3444,11,35,148,447
108999,4032,7,23,304,3774
122691,3328,7,24,284,490
26951,1081,11,76,24,2456
103455,2553,4,38,204,6117
51582,6272,17,8,113,4757
132773,276,6,14,197,4348
1206,435,11,76,147,7448
115980,1715,0,6,277,335
64093,2010,16,56,17,5622
104371,61056,16,56,253,2953
32492,2816,13,78,108,9189
127659,3450,12,57,184,1192
18927,6969,1,64,263,2376
78120,1856,4,38,62,2967
55965,915,12,57,85,722
106176,2874,1,64,263,7069
33616,3133,13,58,254,8899
4637,800,7,23,149,1236
8180,1065,13,67,141,5739
113826,919,4,38,62,8577
32051,15968,16,56,158,1417
98274,1657,13,67,170,8834
126755,889,13,78,287,9469
3312,5107,4,38,62,6939
104407,825,9,37,162,1231
97925,8582,9,9,90,10400
50504,3763,0,45,138,4422
22884,3200,11,35,20,5622
76302,832,14,62,201,4077
8506,1779,4,38,62,2826
92590,5248,11,35,20,662
97770,2176,16,17,272,5226
21963,947,14,62,201,8069
74367,1335,14,62,324,2134
68987,1600,0,45,73,1425
45937,2557,7,46,4,2111
127875,2298,4,38,62,5650
104794,1651,11,51,290,3113
105988,3450,4,38,62,9658
54639,1209,17,55,52,3071
66778,1837,13,67,170,10116
109136,4467,4,38,19,6117
114783,22348,9,3,48,6878
94033,17665,9,3,238,344
52722,313,10,43,223,7701
77197,761,11,76,147,1732
82152,569,17,8,113,2150
120453,1607,7,24,100,9247
71514,569,4,38,62,10152
71083,2010,4,38,62,8500
3918,2102,14,62,106,6303
11524,1344,17,8,279,10019
21041,2292,4,38,62,5055
11185,800,13,67,170,9848
12734,810,12,57,54,8834
60914,1895,13,58,135,6419
24920,2553,14,62,333,9341
60440,5126,12,57,44,1192
39087,9184,9,3,48,1672
125806,441,9,37,162,272
112227,793,7,31,271,2724
123213,1440,17,39,151,4449
76522,1325,17,8,113,6936
43975,2553,7,31,12,10344
59631,708,12,57,54,8475
132468,1140,9,9,244,7467
106657,4026,12,57,44,4222
79293,2131,13,78,134,2167
52466,3047,7,31,12,4261
55300,4262,0,6,50,1859
8106,4723,12,57,44,8007
56826,6272,11,35,148,4389
13352,4550,9,9,90,3880
17943,6400,13,78,134,2884
85491,1376,7,31,12,1840
7483,1402,9,37,162,2159
93624,1895,7,54,270,1071
60935,569,7,54,330,7233
22902,9158,13,78,287,8726
8032,1906,17,39,151,7428
108366,4596,7,23,219,6786
88648,3776,0,6,50,7246
27365,22912,16,56,305,7899
691,3110,17,55,70,623
72393,6419,14,62,323,4576
84876,2701,13,58,102,1690
87221,2822,4,38,62,941
52277,2291,17,39,151,10304
21274,16265,8,40,84,6825
92793,915,7,31,271,6864
108415,441,12,57,171,5416
57454,47360,4,38,19,3893
126557,601,17,39,151,2920
49591,1504,13,5,22,7344
94102,2558,17,8,279,1155
72758,3859,9,44,114,986
76149,640,12,57,171,2874
98612,7744,14,62,333,7111
100322,2534,4,38,62,10127
110121,2246,4,38,62,4300
46284,3974,12,57,85,9723
123310,20428,9,3,238,3009
126924,1146,13,58,135,4362
8888,1993,17,8,113,9225
116380,2471,14,62,324,5060
17688,2643,0,45,73,6014
90725,761,0,45,73,8984
125692,12736,8,40,84,6678
86324,4026,13,5,22,9099
45607,2010,14,62,324,4631
55467,665,11,76,147,7738
867,1779,13,67,168,3351
62781,3398,7,27,115,8768
93203,6336,1,7,338,5164
128102,4572,7,23,219,6661
62307,1657,7,24,100,2510
70092,1975,17,55,58,4819
15315,2298,12,57,44,1713
96032,569,11,70,156,8
32831,3100,11,76,24,2456
72057,2010,4,38,62,7284
130741,4217,14,29,199,6714
66612,1112,17,39,297,2874
103231,2534,6,50,140,107
40618,5702,7,27,115,256
85914,595,11,76,24,2724
71669,5644,13,78,134,6258
104684,2062,11,35,20,6105
52094,544,13,58,265,6186
103011,6508,8,40,313,5071
98312,21248,9,3,27,3009
92139,313,12,57,212,5834
24317,1152,0,6,169,7455
72867,4956,9,44,16,8324
62370,972,17,55,26,8684
85239,672,6,14,247,2365
18909,8006,16,56,305,9488
80809,5433,7,54,330,5305
86025,7680,13,78,205,4279
127223,2598,11,76,24,8506
80189,8582,11,35,20,1230
107511,761,13,67,168,5426
74617,11392,7,33,95,251
24613,2016,7,71,146,383
13711,928,13,58,254,1588
69078,4416,4,38,62,3680
73492,953,10,43,223,7701
26924,1728,4,38,62,4253
102886,1431,17,8,159,2509
107299,3808,9,44,114,8324
119652,2493,4,38,62,5609
96738,2478,7,71,146,5347
101715,1593,13,78,1,1049
102317,1785,7,71,121,4098
12409,32808,16,56,253,5403
13240,1593,4,38,62,2106
124128,1597,12,57,171,9035
26224,288,10,43,223,3055
90215,1280,11,70,156,8
19634,800,10,43,223,3328
19896,1523,12,57,44,6436
115425,5126,17,69,194,8252
123690,8867,9,9,244,9086
105236,968,17,8,279,9270
39985,50,0,45,117,6379
96746,1984,7,46,4,2111
81907,1760,6,49,209,10475
36015,27443,1,7,308,5208
126166,5696,12,57,85,6597
131820,2125,13,5,22,7941
73209,1273,4,38,62,4988
112483,10771,9,9,244,9086
2037,2822,14,62,333,1775
57791,2119,9,44,164,5420
91234,2304,16,4,6,703
131725,460,11,51,329,3113
10952,6016,0,6,277,9670
10031,627,14,62,324,10098
18430,6324,16,56,188,4017
132047,3686,14,62,324,4183
13454,1952,14,62,317,9299
129420,1440,0,6,50,1859
119330,1209,17,8,123,5276
116807,3904,0,45,138,4422
36764,10944,17,69,154,7192
